"Customer","Class","Date","No.Invoice","P.O NO.","Terms","Description","Class","Item","Site","Bin","Quantity","Rate","Amount","Memo"
"amandio","4 - HERA","02-02-26","HR0202266919","139","","DO: 139 LO: 2413 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA","GASÓLEO  ","4 - HERA","","70,000.00","","","LO: V88434 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","02-03-26","HR0203267319","140","","DO: 140 LO: 666666 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA"," GASOLINA","4 - HERA","","100,000.00","","","LO: 53-640 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","17-07-26","HR1707261118","142","","DO: 142 LO: 444444 CLIENT: amandio DRIVER: qwqwqwqw2232","4 - HERA","JET-A1","4 - HERA","","4,000,000,000.00","","","LO: V88434 amandio qwqwqwqw2232"
"amandio","4 - HERA","05-02-26","HR0502264176","148","","DO: 148 LO: 1212121 CLIENT: amandio DRIVER: Quitao Minguel Viera","4 - HERA","GASÓLEO  ","4 - HERA","","50,000.00","","","LO: A53-20 amandio Quitao Minguel Viera"
"amandio","4 - HERA","07-02-26","HR0702265513","160","","DO: 160 LO: 2413 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA"," GASOLINA","4 - HERA","","5,000.00","","","LO: P2413 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","07-02-26","HR0702268080","161","","DO: 161 LO: 2413 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA"," GASOLINA","4 - HERA","","5,000.00","","","LO: P2413 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","07-02-26","HR0702263523","167","","DO: 167 LO: 121212 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA"," GASOLINA","4 - HERA","","5,000.00","","","LO: 6000 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","08-02-26","HR0802266049","169","","DO: 169 LO: 12121 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA","GASÓLEO  ","4 - HERA","","121,212.00","","","LO: 53-640 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","08-02-26","HR0802261625","170","","DO: 170 LO: 12121 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA","GASÓLEO  ","4 - HERA","","121,212.00","","","LO: 53-640 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","08-02-26","HR0802267560","184","","DO: 184 LO: 2413 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA"," GASOLINA","4 - HERA","","5,000.00","","","LO: P2413 amandio JOSE AMANDIO DE ALMEIDA"
"amandio","4 - HERA","09-02-26","HR0902268229","189","","DO: 189 LO: 2101999 CLIENT: amandio DRIVER: JOSE AMANDIO DE ALMEIDA","4 - HERA","JET-A1","4 - HERA","","100,000.00","","","LO: P2413 amandio JOSE AMANDIO DE ALMEIDA"
